                                    category,keyword
spam,free
spam,win
spam,congratulations
spam,click here
spam,limited time
spam,act now
spam,urgent response
spam,claim your prize
spam,no cost
spam,guaranteed
spam,reward
spam,subscription
spam,unsubscribe
spam,bill due
spam,credit card
spam,loan approved
spam,refinance
spam,investment opportunity
spam,earn extra cash
spam,work from home
spam,instant access
spam,exclusive offer
spam,risk-free
spam,final notice
spam,verify account
spam,security alert
spam,account suspended
spam,unauthorized transaction
spam,renewal required
spam,verify payment
spam,click the link
spam,confirm your identity
spam,update payment information
spam,access your account
spam,account locked
spam,earn money fast
spam,limited offer
spam,urgent action required
spam,receive money
spam,award notice
spam,important message
spam,delivery confirmation
